total_t,total_$
629,29543222
587,29543490
586,29544212
612,29544252
591,29544449
582,29545478
568,29545540
600,29545793
562,29545904
618,29546444
632,29547005
596,29547059
614,29547710
578,29547978
628,29548271
614,29548334
596,29548453
608,29548698
584,29549559
610,29549600
594,29549885
604,29549964
624,29550771
598,29551141
583,29551674
637,29552240
630,29552352
594,29552407
608,29552425
602,29552789
633,29553506
626,29553618
612,29553681
604,29553691
606,29554045
621,29555047
592,29555232
602,29555311
622,29556118
643,29556129
617,29556313
596,29556488
588,29556498
604,29557472
649,29557525
628,29557700
600,29558136
575,29558303
600,29558738
589,29558864
625,29559218
604,29559392
596,29559402
585,29560130
571,29560193
588,29560279
567,29561459
620,29561490
584,29561545
634,29561956
616,29562756
617,29562986
596,29563183
630,29563222
587,29564212
613,29564252
592,29564449
583,29565478
601,29565793
563,29565904
619,29566444
633,29567005
597,29567059
601,29567187
579,29567978
636,29568159
629,29568271
615,29568334
597,29568453
609,29568698
622,29568933
585,29569559
611,29569600
605,29569964
625,29570771
599,29571141
607,29572124
638,29572240
631,29572352
595,29572407
609,29572425
578,29572956
634,29573506
627,29573618
613,29573681
605,29573691
607,29574045
593,29575232
603,29575311
623,29576118
618,29576313
597,29576488
605,29577472
629,29577700
593,29577754
633,29577874
630,29577952
601,29578136
576,29578303
601,29578738
590,29578864
626,29579218
605,29579392
572,29580193
589,29580279
568,29581459
621,29581490
585,29581545
635,29581956
617,29582756
618,29582986
597,29583183
631,29583222
588,29584212
614,29584252
593,29584449
619,29584763
584,29585478
602,29585793
564,29585904
620,29586444
634,29587005
598,29587059
580,29587978
630,29588271
616,29588334
610,29588698
586,29589559
612,29589600
596,29589885
606,29589964
626,29590771
600,29591141
639,29592240
632,29592352
596,29592407
610,29592425
604,29592789
635,29593506
628,29593618
614,29593681
606,29593691
608,29594045
594,29595232
604,29595311
624,29596118
619,29596313
598,29596488
606,29597472
651,29597525
630,29597700
631,29597952
602,29598136
577,29598303
602,29598738
591,29598864
627,29599218
606,29599392
598,29599402
573,29600193
590,29600279
569,29601459
586,29601545
618,29602756
619,29602986
557,29603000
598,29603183
632,29603222
589,29604212
615,29604252
567,29604284
594,29604449
585,29605478
603,29605793
